Fonte: Sienge REST direto da API, sem uso do banco local. Receita Bruta aproximada por /accounts-statements tipo receita; Custos Variaveis por /bills; Despesas Variaveis por /accounts-statements tipo expense. Registros: accounts-statements=122117; bills=51019.
MES;RECEITA_BRUTA;CUSTOS_VARIAVEIS;DESPESAS_VARIAVEIS;TOTAL_VARIAVEIS;MC
2019-01;R$ 12.659,04;R$ 0,00;R$ 0,00;R$ 0,00;R$ 12.659,04
2019-02;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00
2019-03;R$ 0,00;R$ 9.502,71;R$ 0,00;R$ 9.502,71;R$ -9.502,71
2019-04;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00
2019-05;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00
2019-06;R$ 0,00;R$ 560,00;R$ 0,00;R$ 560,00;R$ -560,00
2019-07;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00
2019-08;R$ 0,00;R$ 22.130,53;R$ 1.028,77;R$ 23.159,30;R$ -23.159,30
2019-09;R$ 606.269,77;R$ 129.655,56;R$ 99.081,73;R$ 228.737,29;R$ 377.532,48
2019-10;R$ 375.603,50;R$ 421.726,35;R$ 145.627,13;R$ 567.353,48;R$ -191.749,98
2019-11;R$ 695.462,78;R$ 647.255,48;R$ 328.835,67;R$ 976.091,15;R$ -280.628,37
2019-12;R$ 1.038.739,42;R$ 478.094,47;R$ 478.194,97;R$ 956.289,44;R$ 82.449,98
2020-01;R$ 395.213,13;R$ 693.382,49;R$ 234.857,07;R$ 928.239,56;R$ -533.026,43
2020-02;R$ 590.102,82;R$ 616.386,33;R$ 472.887,94;R$ 1.089.274,27;R$ -499.171,45
2020-03;R$ 1.126.886,59;R$ 902.138,80;R$ 631.070,13;R$ 1.533.208,93;R$ -406.322,34
2020-04;R$ 1.047.298,99;R$ 829.315,01;R$ 660.353,03;R$ 1.489.668,04;R$ -442.369,05
2020-05;R$ 770.685,75;R$ 816.310,09;R$ 581.991,90;R$ 1.398.301,99;R$ -627.616,24
2020-06;R$ 1.048.801,40;R$ 691.647,12;R$ 564.572,36;R$ 1.256.219,48;R$ -207.418,08
2020-07;R$ 1.209.245,40;R$ 1.256.835,59;R$ 671.782,99;R$ 1.928.618,58;R$ -719.373,18
2020-08;R$ 1.195.923,03;R$ 1.777.106,98;R$ 826.146,72;R$ 2.603.253,70;R$ -1.407.330,67
2020-09;R$ 1.957.574,59;R$ 1.596.152,62;R$ 1.437.177,65;R$ 3.033.330,27;R$ -1.075.755,68
2020-10;R$ 1.180.310,53;R$ 1.527.881,91;R$ 958.837,77;R$ 2.486.719,68;R$ -1.306.409,15
2020-11;R$ 1.081.517,78;R$ 1.930.818,55;R$ 1.004.166,18;R$ 2.934.984,73;R$ -1.853.466,95
2020-12;R$ 1.487.980,29;R$ 681.262,15;R$ 985.486,83;R$ 1.666.748,98;R$ -178.768,69
2021-01;R$ 584.786,32;R$ 1.143.602,99;R$ 585.034,71;R$ 1.728.637,70;R$ -1.143.851,38
2021-02;R$ 903.929,27;R$ 869.386,03;R$ 634.655,24;R$ 1.504.041,27;R$ -600.112,00
2021-03;R$ 468.028,83;R$ 736.835,42;R$ 567.179,64;R$ 1.304.015,06;R$ -835.986,23
2021-04;R$ 873.850,27;R$ 567.596,19;R$ 680.002,59;R$ 1.247.598,78;R$ -373.748,51
2021-05;R$ 386.517,31;R$ 567.719,58;R$ 357.774,84;R$ 925.494,42;R$ -538.977,11
2021-06;R$ 1.799.795,40;R$ 594.527,00;R$ 782.526,77;R$ 1.377.053,77;R$ 422.741,63
2021-07;R$ 1.196.542,39;R$ 1.900.683,11;R$ 807.212,41;R$ 2.707.895,52;R$ -1.511.353,13
2021-08;R$ 1.468.514,15;R$ 652.425,22;R$ 628.409,79;R$ 1.280.835,01;R$ 187.679,14
2021-09;R$ 1.385.743,02;R$ 1.201.201,39;R$ 710.238,09;R$ 1.911.439,48;R$ -525.696,46
2021-10;R$ 1.144.759,81;R$ 1.344.102,88;R$ 765.079,28;R$ 2.109.182,16;R$ -964.422,35
2021-11;R$ 1.466.004,85;R$ 1.430.406,44;R$ 1.150.174,51;R$ 2.580.580,95;R$ -1.114.576,10
2021-12;R$ 3.516.042,42;R$ 1.640.550,73;R$ 2.114.811,55;R$ 3.755.362,28;R$ -239.319,86
2022-01;R$ 903.706,43;R$ 2.552.779,66;R$ 1.347.987,31;R$ 3.900.766,97;R$ -2.997.060,54
