MARGEM DE CONTRIBUICAO (%) (SIENGE REST)
Formula: Margem = MC / Receita Bruta
Periodo: 2019-01 ate 2026-05
Gerado em: 2026-05-06
Fonte: Sienge REST direto da API, sem uso do banco local. Receita Bruta aproximada por /accounts-statements tipo receita; Custos Variaveis por /bills; Despesas Variaveis por /accounts-statements tipo expense. Registros: accounts-statements=122117; bills=51019.

MES;MARGEM
2019-01;100,00%
2019-02;0,00%
2019-03;0,00%
2019-04;0,00%
2019-05;0,00%
2019-06;0,00%
2019-07;0,00%
2019-08;0,00%
2019-09;62,27%
2019-10;-51,05%
2019-11;-40,35%
2019-12;7,94%
2020-01;-134,87%
2020-02;-84,59%
2020-03;-36,06%
2020-04;-42,24%
2020-05;-81,44%
2020-06;-19,78%
2020-07;-59,49%
2020-08;-117,68%
2020-09;-54,95%
2020-10;-110,68%
2020-11;-171,38%
2020-12;-12,01%
2021-01;-195,60%
2021-02;-66,39%
2021-03;-178,62%
2021-04;-42,77%
2021-05;-139,44%
2021-06;23,49%
2021-07;-126,31%
2021-08;12,78%
2021-09;-37,94%
2021-10;-84,25%
2021-11;-76,03%
2021-12;-6,81%
2022-01;-331,64%
2022-02;-123,52%
2022-03;-77,05%
2022-04;-130,95%
2022-05;-205,70%
2022-06;-80,13%
2022-07;-138,59%
2022-08;-128,22%
2022-09;-167,23%
2022-10;-139,11%
2022-11;-114,22%
2022-12;-45,47%
2023-01;-348,57%
2023-02;-303,16%
2023-03;-49,80%
2023-04;-258,06%
2023-05;-46,45%
2023-06;-109,97%
2023-07;-90,97%
2023-08;-73,71%
2023-09;-121,30%
2023-10;-63,44%
2023-11;-121,14%
2023-12;-4,67%
2024-01;-249,95%
2024-02;-77,67%
2024-03;-85,88%
2024-04;-100,53%
2024-05;-62,69%
2024-06;-46,13%
2024-07;3,59%
2024-08;-35,80%
2024-09;-45,12%
2024-10;-33,57%
2024-11;-42,63%
2024-12;-26,84%
2025-01;-258,21%
2025-02;-219,14%
2025-03;-235,95%
2025-04;-140,93%
2025-05;-266,82%
2025-06;-204,93%
2025-07;-140,42%
2025-08;-265,84%
2025-09;-148,75%
2025-10;-90,27%
2025-11;-366,95%
2025-12;-157,86%
2026-01;-748,35%
2026-02;-61,52%
2026-03;-173,22%
2026-04;-303,48%
2026-05;-14395,19%

TOTAL;-105,95%
