2026-05-07T16:02:00.204770+00:00 | dataset=pedidos | motivo=range faltante no banco | periodo=2026-05-07..2026-05-07
2026-05-07T18:39:23.252265+00:00 | dataset=bills_buildings_cost | motivo=rateio por obra ausente no banco | periodo=204169839375613..204169839375613
2026-05-07T18:39:23.274257+00:00 | dataset=bills_buildings_cost | motivo=rateio por obra ausente no banco | periodo=157899873529023..157899873529023
2026-05-07T18:39:23.279426+00:00 | dataset=bills_buildings_cost | motivo=rateio por obra ausente no banco | periodo=214749134432560..214749134432560
2026-05-07T18:39:23.285719+00:00 | dataset=bills_buildings_cost | motivo=rateio por obra ausente no banco | periodo=27505503201240..27505503201240
2026-05-07T18:39:23.290109+00:00 | dataset=bills_buildings_cost | motivo=rateio por obra ausente no banco | periodo=156399069120065..156399069120065
2026-05-07T18:39:23.296751+00:00 | dataset=bills_buildings_cost | motivo=rateio por obra ausente no banco | periodo=47368418573042..47368418573042
2026-05-07T18:39:23.301914+00:00 | dataset=bills_buildings_cost | motivo=rateio por obra ausente no banco | periodo=44537924045267..44537924045267
2026-05-07T18:39:23.307545+00:00 | dataset=bills_buildings_cost | motivo=rateio por obra ausente no banco | periodo=64273305996816..64273305996816
2026-05-07T18:43:01.158593+00:00 | dataset=bills_buildings_cost | motivo=rateio por obra ausente no banco | periodo=204169839375613..204169839375613
2026-05-07T18:43:01.166149+00:00 | dataset=bills_buildings_cost | motivo=rateio por obra ausente no banco | periodo=157899873529023..157899873529023
2026-05-07T18:43:01.173162+00:00 | dataset=bills_buildings_cost | motivo=rateio por obra ausente no banco | periodo=214749134432560..214749134432560
2026-05-07T18:43:01.182413+00:00 | dataset=bills_buildings_cost | motivo=rateio por obra ausente no banco | periodo=27505503201240..27505503201240
2026-05-07T18:43:01.190350+00:00 | dataset=bills_buildings_cost | motivo=rateio por obra ausente no banco | periodo=156399069120065..156399069120065
2026-05-07T18:43:01.201474+00:00 | dataset=bills_buildings_cost | motivo=rateio por obra ausente no banco | periodo=47368418573042..47368418573042
2026-05-07T18:43:01.209942+00:00 | dataset=bills_buildings_cost | motivo=rateio por obra ausente no banco | periodo=44537924045267..44537924045267
2026-05-07T18:43:01.215842+00:00 | dataset=bills_buildings_cost | motivo=rateio por obra ausente no banco | periodo=64273305996816..64273305996816
2026-05-07T18:43:01.223977+00:00 | dataset=bills_buildings_cost | motivo=rateio por obra ausente no banco | periodo=204169839375613..204169839375613
2026-05-07T18:43:01.229503+00:00 | dataset=bills_buildings_cost | motivo=rateio por obra ausente no banco | periodo=157899873529023..157899873529023
2026-05-07T18:43:01.235972+00:00 | dataset=bills_buildings_cost | motivo=rateio por obra ausente no banco | periodo=214749134432560..214749134432560
2026-05-07T18:43:01.243177+00:00 | dataset=bills_buildings_cost | motivo=rateio por obra ausente no banco | periodo=27505503201240..27505503201240
2026-05-07T18:43:01.249335+00:00 | dataset=bills_buildings_cost | motivo=rateio por obra ausente no banco | periodo=156399069120065..156399069120065
2026-05-07T18:43:01.255753+00:00 | dataset=bills_buildings_cost | motivo=rateio por obra ausente no banco | periodo=47368418573042..47368418573042
2026-05-07T18:43:01.262184+00:00 | dataset=bills_buildings_cost | motivo=rateio por obra ausente no banco | periodo=44537924045267..44537924045267
2026-05-07T18:43:01.269564+00:00 | dataset=bills_buildings_cost | motivo=rateio por obra ausente no banco | periodo=64273305996816..64273305996816
2026-05-07T18:43:01.275172+00:00 | dataset=bills_buildings_cost | motivo=rateio por obra ausente no banco | periodo=204169839375613..204169839375613
2026-05-07T18:43:01.281026+00:00 | dataset=bills_buildings_cost | motivo=rateio por obra ausente no banco | periodo=157899873529023..157899873529023
2026-05-07T18:43:01.287400+00:00 | dataset=bills_buildings_cost | motivo=rateio por obra ausente no banco | periodo=214749134432560..214749134432560
2026-05-07T18:43:01.293601+00:00 | dataset=bills_buildings_cost | motivo=rateio por obra ausente no banco | periodo=27505503201240..27505503201240
2026-05-07T18:43:01.301339+00:00 | dataset=bills_buildings_cost | motivo=rateio por obra ausente no banco | periodo=156399069120065..156399069120065
2026-05-07T18:43:01.307209+00:00 | dataset=bills_buildings_cost | motivo=rateio por obra ausente no banco | periodo=47368418573042..47368418573042
2026-05-07T18:43:01.314019+00:00 | dataset=bills_buildings_cost | motivo=rateio por obra ausente no banco | periodo=44537924045267..44537924045267
2026-05-07T18:43:01.320009+00:00 | dataset=bills_buildings_cost | motivo=rateio por obra ausente no banco | periodo=64273305996816..64273305996816
2026-05-07T18:46:05.869338+00:00 | dataset=bills_buildings_cost | motivo=rateio por obra ausente no banco | periodo=106839644814087..106839644814087
2026-05-07T18:46:05.877290+00:00 | dataset=bills_buildings_cost | motivo=rateio por obra ausente no banco | periodo=251325650099615..251325650099615
2026-05-07T18:46:05.883431+00:00 | dataset=bills_buildings_cost | motivo=rateio por obra ausente no banco | periodo=260037407968074..260037407968074
2026-05-07T18:46:05.896046+00:00 | dataset=bills_buildings_cost | motivo=rateio por obra ausente no banco | periodo=79964902368943..79964902368943
2026-05-07T18:46:05.909216+00:00 | dataset=bills_buildings_cost | motivo=rateio por obra ausente no banco | periodo=8153721354175..8153721354175
2026-05-07T18:46:05.918068+00:00 | dataset=bills_buildings_cost | motivo=rateio por obra ausente no banco | periodo=178228508657468..178228508657468
2026-05-07T18:46:05.924973+00:00 | dataset=bills_buildings_cost | motivo=rateio por obra ausente no banco | periodo=23400809348287..23400809348287
2026-05-07T18:46:05.934147+00:00 | dataset=bills_buildings_cost | motivo=rateio por obra ausente no banco | periodo=272586397682544..272586397682544
2026-05-07T18:46:05.941314+00:00 | dataset=bills_buildings_cost | motivo=rateio por obra ausente no banco | periodo=106839644814087..106839644814087
2026-05-07T18:46:05.949608+00:00 | dataset=bills_buildings_cost | motivo=rateio por obra ausente no banco | periodo=251325650099615..251325650099615
2026-05-07T18:46:05.957941+00:00 | dataset=bills_buildings_cost | motivo=rateio por obra ausente no banco | periodo=260037407968074..260037407968074
2026-05-07T18:46:05.970683+00:00 | dataset=bills_buildings_cost | motivo=rateio por obra ausente no banco | periodo=79964902368943..79964902368943
2026-05-07T18:46:05.978599+00:00 | dataset=bills_buildings_cost | motivo=rateio por obra ausente no banco | periodo=8153721354175..8153721354175
2026-05-07T18:46:05.983848+00:00 | dataset=bills_buildings_cost | motivo=rateio por obra ausente no banco | periodo=178228508657468..178228508657468
2026-05-07T18:46:05.994564+00:00 | dataset=bills_buildings_cost | motivo=rateio por obra ausente no banco | periodo=23400809348287..23400809348287
2026-05-07T18:46:06.001840+00:00 | dataset=bills_buildings_cost | motivo=rateio por obra ausente no banco | periodo=272586397682544..272586397682544
2026-05-07T18:48:55.861644+00:00 | dataset=bills_buildings_cost | motivo=rateio por obra ausente no banco | periodo=96..96
2026-05-07T18:48:55.871756+00:00 | dataset=bills_buildings_cost | motivo=rateio por obra ausente no banco | periodo=97..97
2026-05-07T18:48:55.879057+00:00 | dataset=bills_buildings_cost | motivo=rateio por obra ausente no banco | periodo=99..99
2026-05-07T18:48:55.885030+00:00 | dataset=bills_buildings_cost | motivo=rateio por obra ausente no banco | periodo=101..101
2026-05-07T18:48:55.889528+00:00 | dataset=bills_buildings_cost | motivo=rateio por obra ausente no banco | periodo=102..102
2026-05-07T18:48:55.895162+00:00 | dataset=bills_buildings_cost | motivo=rateio por obra ausente no banco | periodo=103..103
2026-05-07T18:48:55.901471+00:00 | dataset=bills_buildings_cost | motivo=rateio por obra ausente no banco | periodo=104..104
2026-05-07T18:48:55.906107+00:00 | dataset=bills_buildings_cost | motivo=rateio por obra ausente no banco | periodo=105..105
2026-05-07T18:48:55.912494+00:00 | dataset=bills_buildings_cost | motivo=rateio por obra ausente no banco | periodo=96..96
2026-05-07T18:48:55.918039+00:00 | dataset=bills_buildings_cost | motivo=rateio por obra ausente no banco | periodo=97..97
2026-05-07T18:48:55.922740+00:00 | dataset=bills_buildings_cost | motivo=rateio por obra ausente no banco | periodo=99..99
2026-05-07T18:48:55.928605+00:00 | dataset=bills_buildings_cost | motivo=rateio por obra ausente no banco | periodo=101..101
2026-05-07T18:48:55.935005+00:00 | dataset=bills_buildings_cost | motivo=rateio por obra ausente no banco | periodo=102..102
2026-05-07T18:48:55.937913+00:00 | dataset=bills_buildings_cost | motivo=rateio por obra ausente no banco | periodo=103..103
2026-05-07T18:48:55.943315+00:00 | dataset=bills_buildings_cost | motivo=rateio por obra ausente no banco | periodo=104..104
2026-05-07T18:48:55.948087+00:00 | dataset=bills_buildings_cost | motivo=rateio por obra ausente no banco | periodo=105..105
2026-05-07T18:49:52.490121+00:00 | dataset=bills_buildings_cost | motivo=rateio por obra ausente no banco | periodo=96..96
2026-05-07T18:49:52.500887+00:00 | dataset=bills_buildings_cost | motivo=rateio por obra ausente no banco | periodo=97..97
2026-05-07T18:49:52.508982+00:00 | dataset=bills_buildings_cost | motivo=rateio por obra ausente no banco | periodo=99..99
2026-05-07T18:49:52.521545+00:00 | dataset=bills_buildings_cost | motivo=rateio por obra ausente no banco | periodo=101..101
2026-05-07T18:49:52.531500+00:00 | dataset=bills_buildings_cost | motivo=rateio por obra ausente no banco | periodo=102..102
2026-05-07T18:49:52.541716+00:00 | dataset=bills_buildings_cost | motivo=rateio por obra ausente no banco | periodo=103..103
2026-05-07T18:49:52.549075+00:00 | dataset=bills_buildings_cost | motivo=rateio por obra ausente no banco | periodo=104..104
2026-05-07T18:49:52.558196+00:00 | dataset=bills_buildings_cost | motivo=rateio por obra ausente no banco | periodo=105..105
2026-05-07T18:50:44.967396+00:00 | dataset=bills_buildings_cost | motivo=rateio por obra ausente no banco | periodo=96..96
2026-05-07T18:50:44.974526+00:00 | dataset=bills_buildings_cost | motivo=rateio por obra ausente no banco | periodo=97..97
2026-05-07T18:50:44.985966+00:00 | dataset=bills_buildings_cost | motivo=rateio por obra ausente no banco | periodo=99..99
2026-05-07T18:50:44.991248+00:00 | dataset=bills_buildings_cost | motivo=rateio por obra ausente no banco | periodo=101..101
2026-05-07T18:50:44.997490+00:00 | dataset=bills_buildings_cost | motivo=rateio por obra ausente no banco | periodo=102..102
2026-05-07T18:50:45.001283+00:00 | dataset=bills_buildings_cost | motivo=rateio por obra ausente no banco | periodo=103..103
2026-05-07T18:50:45.006996+00:00 | dataset=bills_buildings_cost | motivo=rateio por obra ausente no banco | periodo=104..104
2026-05-07T18:50:45.011776+00:00 | dataset=bills_buildings_cost | motivo=rateio por obra ausente no banco | periodo=105..105
2026-05-07T18:51:03.211413+00:00 | dataset=bills_buildings_cost | motivo=rateio por obra ausente no banco | periodo=1338..1338
2026-05-07T18:51:03.219631+00:00 | dataset=bills_buildings_cost | motivo=rateio por obra ausente no banco | periodo=1339..1339
2026-05-07T18:51:03.227978+00:00 | dataset=bills_buildings_cost | motivo=rateio por obra ausente no banco | periodo=1341..1341
2026-05-07T18:51:03.232926+00:00 | dataset=bills_buildings_cost | motivo=rateio por obra ausente no banco | periodo=1342..1342
2026-05-07T18:51:03.236637+00:00 | dataset=bills_buildings_cost | motivo=rateio por obra ausente no banco | periodo=1345..1345
2026-05-07T18:51:03.242184+00:00 | dataset=bills_buildings_cost | motivo=rateio por obra ausente no banco | periodo=1344..1344
2026-05-07T18:51:03.250160+00:00 | dataset=bills_buildings_cost | motivo=rateio por obra ausente no banco | periodo=1364..1364
2026-05-07T18:51:03.256524+00:00 | dataset=bills_buildings_cost | motivo=rateio por obra ausente no banco | periodo=1346..1346
2026-05-07T18:51:13.982444+00:00 | dataset=bills_buildings_cost | motivo=rateio por obra ausente no banco | periodo=1338..1338
2026-05-07T18:51:13.988732+00:00 | dataset=bills_buildings_cost | motivo=rateio por obra ausente no banco | periodo=1339..1339
2026-05-07T18:51:13.997141+00:00 | dataset=bills_buildings_cost | motivo=rateio por obra ausente no banco | periodo=1341..1341
2026-05-07T18:51:14.002634+00:00 | dataset=bills_buildings_cost | motivo=rateio por obra ausente no banco | periodo=1342..1342
2026-05-07T18:51:14.010871+00:00 | dataset=bills_buildings_cost | motivo=rateio por obra ausente no banco | periodo=1345..1345
2026-05-07T18:51:14.016096+00:00 | dataset=bills_buildings_cost | motivo=rateio por obra ausente no banco | periodo=1344..1344
2026-05-07T18:51:14.023023+00:00 | dataset=bills_buildings_cost | motivo=rateio por obra ausente no banco | periodo=1364..1364
2026-05-07T18:51:14.029035+00:00 | dataset=bills_buildings_cost | motivo=rateio por obra ausente no banco | periodo=1346..1346
