TIPO;ID;VENCIMENTO;EMPRESA;PESSOA;DOCUMENTO;VALOR
PAGAR;955-1;2019-11-21;1;110;00001;900.0
PAGAR;1687-1;2020-01-27;1;244;0026;480.0
PAGAR;3911-1;2020-06-19;1;29;84452;105.0
PAGAR;5815-2;2020-09-21;1;7;2274;2626.9
PAGAR;6663-1;2020-10-11;1;161;37014263;1003.01
PAGAR;6416-2;2020-11-08;1;10;2467;166.25
PAGAR;9729-1;2021-06-13;1;108;3483;69.0
PAGAR;10024-2;2021-07-16;1;7;3562;15000.0
PAGAR;10178-1;2021-07-25;1;237;3600;66.39
PAGAR;11340-1;2021-09-09;1;78;116417;468.72
PAGAR;13832-1;2021-11-11;1;970;103434;410.0
PAGAR;12991-1;2021-12-10;1;850;4524;1365.0
PAGAR;14344-1;2022-01-17;1;1015;491;105.0
PAGAR;15194-2;2022-04-14;3;928;5373;163.5
PAGAR;17889-1;2022-06-04;1;50;9866;733.33
PAGAR;17863-1;2022-06-06;1;213;1527;58.07
PAGAR;17191-1;2022-06-10;3;572;6152;720.0
PAGAR;19684-1;2022-08-18;1;70;252;198.45
PAGAR;19980-1;2022-08-25;1;1160;21822;2200.0
PAGAR;21369-1;2022-09-29;1;626;424041;0.01
PAGAR;22209-1;2022-10-14;1;1304;7640;12556.0
PAGAR;21369-2;2022-10-29;1;626;424041;6105.42
PAGAR;21369-3;2022-11-28;1;626;424041;6105.42
PAGAR;22394-2;2022-12-17;1;1168;7927;2400.0
PAGAR;21369-4;2022-12-28;1;626;424041;6107.25
PAGAR;31055-1;2023-08-24;1;7;10550;1401.49
PAGAR;31053-2;2023-08-27;1;7;10551;76.15
PAGAR;31055-2;2023-09-23;1;7;10550;1401.49
PAGAR;31055-3;2023-10-23;1;7;10550;1401.92
PAGAR;38058-1;2024-05-04;1;10;11976;125.71
PAGAR;1171-2;2025-01-01;1;11;448;6.42
PAGAR;55101-1;2025-05-29;1;2283;1836;972.0
PAGAR;48367-1;2025-06-13;1;650;177288;757.97
PAGAR;49797-1;2025-08-18;1;74;583769;9146.24
PAGAR;49797-2;2025-09-18;1;74;583769;9146.24
PAGAR;51239-1;2025-10-01;1;1251;5556;3850.0
PAGAR;49797-3;2025-10-18;1;74;583769;9146.24
PAGAR;49797-4;2025-11-18;1;74;583769;9146.23
PAGAR;52813-1;2025-11-18;1;23;185746;489.2
PAGAR;53667-1;2025-12-06;1;1152;79783;10360.0
PAGAR;53657-1;2025-12-10;1;215;48306;700.0
PAGAR;53657-2;2026-01-10;1;215;48306;700.0
PAGAR;55488-1;2026-01-31;1;2525;15329;700.0
PAGAR;53657-3;2026-02-10;1;215;48306;700.0
PAGAR;55242-1;2026-02-15;1;76;206123;1799.5
PAGAR;55249-1;2026-02-15;1;1592;157325;7002.97
PAGAR;56366-1;2026-02-25;7;2990;1925794;7693.73
PAGAR;916-2;2026-03-04;1;10;340;200.73
PAGAR;55242-2;2026-03-15;1;76;206123;1799.5
PAGAR;55249-2;2026-03-15;1;1592;157325;7002.97
PAGAR;57002-1;2026-03-18;7;2204;215005;59198.92
PAGAR;56712-1;2026-03-21;1;119;9945;1500.0
PAGAR;57183-1;2026-04-02;2;3284;01;1050.0
PAGAR;55242-3;2026-04-15;1;76;206123;1799.5
PAGAR;55249-3;2026-04-15;1;1592;157325;7005.06
PAGAR;57746-1;2026-05-06;7;2283;3587;2388.0
PAGAR;57770-1;2026-05-09;7;2283;1662;4880.0
PAGAR;57769-1;2026-05-14;7;2283;1692.1;4880.0
PAGAR;55242-4;2026-05-15;1;76;206123;1799.5
PAGAR;57486-1;2026-05-16;7;2283;1708;4880.0
PAGAR;57970-1;2026-05-27;7;2761;1697;4399.99
RECEBER;232-1;2019-08-13;1;21;205;57764.3
RECEBER;233-1;2019-08-13;1;7;209;80006.28
RECEBER;234-1;2019-08-13;1;1;208;79227.87
RECEBER;89-1;2019-08-13;1;17;206;230571.01
RECEBER;90-1;2019-09-04;1;22;211;153021.9
RECEBER;93-1;2019-09-10;1;1;214;18960.76
RECEBER;94-1;2019-09-10;1;9;219;8361.64
RECEBER;95-1;2019-09-13;1;12;216;23230.53
RECEBER;96-1;2019-09-13;1;12;217;5285.28
RECEBER;97-1;2019-09-16;1;7;221;13928.1
RECEBER;99-1;2019-09-19;1;17;220;75051.84
