EMPRESA;ID_EMPRESA;OBRA;ID_OBRA;RECEITA;CUSTOS_DESPESAS;MC;MARGEM
DINAMICA EMPREENDIMENTOS E SOLUCOES LTDA;1;1 - UNILAB - CONSTRUÇÃO DOS BLOCOS ANEXOS DO CAMPUS DOS MALÊS;262;R$ 3.686.903,67;R$ 1.017.556,72;R$ 2.669.346,95;72,40%
DINAMICA EMPREENDIMENTOS E SOLUCOES LTDA;1;4 - REFORMA E AMPLIAÇÃO DE HOSPITAL - ASSARE;168;R$ 2.620.536,06;R$ 326.702,78;R$ 2.293.833,29;87,53%
DINAMICA EMPREENDIMENTOS E SOLUCOES LTDA;1;4 - CONSTRUÇÃO DE ESCOLA VERTICAL 12 SALAS NO BAIRRO ALTO DA BRASILIA - SOBRAL;187;R$ 2.571.696,19;R$ 214.025,92;R$ 2.357.670,27;91,68%
DINAMICA EMPREENDIMENTOS E SOLUCOES LTDA;1;1 - CONSTRUÇÃO DE ESCOLA VERTICAL 12 SALAS NO BAIRRO ALTO DA BRASILIA - SOBRAL;256;R$ 1.972.991,70;R$ 363.561,42;R$ 1.609.430,28;81,57%
DINAMICA EMPREENDIMENTOS E SOLUCOES LTDA;1;REFORMA DO HOSPITAL MUNICIPAL DR. JOÃO ELISIO DE HOLANDA;102;R$ 1.047.167,62;R$ 669.852,38;R$ 377.315,25;36,03%
DINAMICA EMPREENDIMENTOS E SOLUCOES LTDA;1;SERVIÇOS REMANESCENTES DA CRECHE TIPO 01 - PROINFÂNCIA - ASSARÉ;142;R$ 964.294,57;R$ 75.871,62;R$ 888.422,95;92,13%
DINAMICA EMPREENDIMENTOS E SOLUCOES LTDA;1;OBRAS PARCERIAS TABULEIRO - ENTRADA DA CIDADE;189;R$ 847.972,29;R$ 12.909,48;R$ 835.062,81;98,48%
DINAMICA EMPREENDIMENTOS E SOLUCOES LTDA;1;CENTRO DE EDUCAÇÃO INFANTIL - CEI IV - CASCAVEL;146;R$ 818.747,01;R$ 133.300,06;R$ 685.446,94;83,72%
DINAMICA EMPREENDIMENTOS E SOLUCOES LTDA;1;RECUPERAÇÃO DO MATADOURO PÚBLICO MUNICIPAL DE ASSARÉ;206;R$ 790.356,15;R$ 482.927,43;R$ 307.428,72;38,90%
DINAMICA EMPREENDIMENTOS E SOLUCOES LTDA;1;Sem obra identificada;0;R$ 735.641,63;R$ 773.299,17;R$ -37.657,54;-5,12%
DINAMICA EMPREENDIMENTOS E SOLUCOES LTDA;1;4 - REFORMA DA ESCOLA FREI TITO DE ALENCAR LIMA - FORTALEZA;162;R$ 677.225,28;R$ 191.628,22;R$ 485.597,06;71,70%
DINAMICA EMPREENDIMENTOS E SOLUCOES LTDA;1;1 - UNIDADE DE ALIMENTAÇÃO NUTRICIONAL DO CAMPUS ACARAÚ DO IFCE;271;R$ 630.300,55;R$ 253.375,46;R$ 376.925,09;59,80%
DINAMICA EMPREENDIMENTOS E SOLUCOES LTDA;1;2 - CONSTRUÇÃO DE 12 SALAS DE AULA COM QUADRA POLIESPORTIVA COBERTA - ASSARE;272;R$ 594.396,41;R$ 0,00;R$ 594.396,41;100,00%
DINAMICA EMPREENDIMENTOS E SOLUCOES LTDA;1;5 - CONSTRUÇÃO DE GALPÃO INDUSTRIAL - TABULEIRO DO NORTE/CE;186;R$ 586.867,16;R$ 4.373,31;R$ 582.493,85;99,25%
DINAMICA EMPREENDIMENTOS E SOLUCOES LTDA;1;REF E AMPLI ESCOLAS FRANCISCO CIPRIANO MOREIRA E LUIZA BARROSO BRAGA - PARAIPABA;203;R$ 580.932,35;R$ 1.554,57;R$ 579.377,78;99,73%
DINAMICA EMPREENDIMENTOS E SOLUCOES LTDA;1;CONSTRUÇAO DE UMA ESCOLA NO DISTRITO DE MONTE ALVERNE - CRATO;195;R$ 580.896,93;R$ 138.636,53;R$ 442.260,40;76,13%
DINAMICA EMPREENDIMENTOS E SOLUCOES LTDA;1;4 - SOP - CONSTRUÇÃO DE CEI - CANINDE;183;R$ 575.235,61;R$ 122.430,11;R$ 452.805,50;78,72%
DINAMICA EMPREENDIMENTOS E SOLUCOES LTDA;1;REF E AMP DA EDIFICAÇÃO DA ESCOLA SUPERIOR DA MAGISTRAT DO EST DO CEARA - ESMEC;184;R$ 558.957,45;R$ 126.590,99;R$ 432.366,46;77,35%
DINAMICA EMPREENDIMENTOS E SOLUCOES LTDA;1;REFORMA DE POSTO;132;R$ 557.371,20;R$ 24.699,58;R$ 532.671,62;95,57%
DINAMICA EMPREENDIMENTOS E SOLUCOES LTDA;1;CONSTRUÇÃO DE PASSAGEM MOLHADA - SÍTIO SÃO LORENZO - ASSARE;171;R$ 539.645,85;R$ 37.309,74;R$ 502.336,11;93,09%
DINAMICA EMPREENDIMENTOS E SOLUCOES LTDA;1;CONSTRUÇÃO DE GALPÃO INDUSTRIAL - SENADOR POMPEU;198;R$ 530.573,81;R$ 30.742,73;R$ 499.831,08;94,21%
DINAMICA EMPREENDIMENTOS E SOLUCOES LTDA;1;CONSTRUÇÃO DE UMA ESCOLA - 12 SALAS - VARZEA ALEGRE;274;R$ 515.672,99;R$ 53.243,97;R$ 462.429,02;89,67%
DINAMICA EMPREENDIMENTOS E SOLUCOES LTDA;1;4 - SOP - CONSTRUÇÃO DE CEI - ICAPUÍ;136;R$ 503.920,00;R$ 205.677,28;R$ 298.242,72;59,18%
DINAMICA EMPREENDIMENTOS E SOLUCOES LTDA;1;AMPLIAÇÃO DO HOSPITAL E MATERNIDADE LUZIA TEODORO DA COSTA NO MUNICÍPIO DE ORÓS;83;R$ 495.929,12;R$ 180.043,11;R$ 315.886,01;63,70%
DINAMICA EMPREENDIMENTOS E SOLUCOES LTDA;1;4 - URBANIZAÇÃO CAMPUS UNILAB;200;R$ 495.916,97;R$ 200.123,29;R$ 295.793,68;59,65%
DINAMICA EMPREENDIMENTOS E SOLUCOES LTDA;1;3 - SOP - CONSTRUÇÃO DE CEI - MARACANAÚ;135;R$ 491.113,41;R$ 111.428,49;R$ 379.684,92;77,31%
