EMPRESA: JFK CONSTRUÇÕES LTDA
ID_EMPRESA: 2
PERIODO: 1999-05-09 ate 2027-11-01
Fonte: Sienge API REST ao vivo (/bills), sem uso do banco local.
Observacao: Ind., Dias, Acrescimo e Desconto ficam em branco/R$ 0,00 quando o endpoint principal do Sienge nao retorna esses campos.
Registros: companies=10; works=347; bills=51088.

OBRAS ADMINISTRADAS
ID_OBRA;OBRA
20004;CASA BOULEVARD
20001;ESCRITÓRIO JFK
20002;GESTÃO CONTRATOS INSTITUTO CENTRAL DAS CRECHES COMUNITARIAS
20003;REFORMA SALA - IFCE MARACANAÚ

CONTAS_A_PAGAR
Credor;Documento;Lançamento;Qt.;Ind.;Dias;Valor no vencto;Acréscimo;Desconto;Total
JFK CONSTRUÇÕES;REC 03/02;03/02/2021;1;;;R$ 650,00;R$ 0,00;R$ 0,00;R$ 650,00
JFK CONSTRUÇÕES;BOL 118675;12/02/2021;1;;;R$ 163,00;R$ 0,00;R$ 0,00;R$ 163,00
JFK CONSTRUÇÕES;REC 15/07;15/07/2021;1;;;R$ 650,00;R$ 0,00;R$ 0,00;R$ 650,00
CONSELHO REGIONAL DE ENGENHARIA E AGRONOMIA DO CEARÁ;BOL 05/08;04/08/2021;1;;;R$ 818,77;R$ 0,00;R$ 0,00;R$ 818,77
BANCO BRADESCO S.A.;DEP 001;04/08/2021;1;;;R$ 200,00;R$ 0,00;R$ 0,00;R$ 200,00
BANCO BRADESCO S.A.;REC 01;17/09/2021;1;;;R$ 200,00;R$ 0,00;R$ 0,00;R$ 200,00
MAXCONT CONSULTORIA EMPRESARIAL E CONTABILIDADE EIRELI;BOL 2022.;05/02/2022;4;;;R$ 650,00;R$ 0,00;R$ 0,00;R$ 650,00
MAXCONT CONSULTORIA EMPRESARIAL E CONTABILIDADE EIRELI;DEP 16/02;16/02/2022;1;;;R$ 650,00;R$ 0,00;R$ 0,00;R$ 650,00
JFK CONSTRUÇÕES;BOL 101230436;30/04/2022;1;;;R$ 232,00;R$ 0,00;R$ 0,00;R$ 232,00
JFK CONSTRUÇÕES;BOL 112927072;01/06/2022;1;;;R$ 163,00;R$ 0,00;R$ 0,00;R$ 163,00
