ID;NOME;EMPRESA;STATUS
1;IFCE CONSTRUÇÃO SALAS DE AULA - MORADA NOVA;1;Ativa
2;IFCE CONSTRUÇÃO ESPAÇO DE VIVÊNCIA - CAMOCIM;1;Ativa
3;IFCE CONSTRUÇÃO ESPAÇO DE VIVÊNCIA - TAUÁ;1;Ativa
4;IFCE CONSTRUÇÃO ESPAÇO DE VIVÊNCIA - TIANGUÁ;1;Ativa
5;IFCE CONSTRUÇÃO ESPAÇO DE VIVÊNCIA - UBAJARA;1;Ativa
6;IFCE CONSTRUÇÃO ESPAÇO DE VIVÊNCIA - CAUCAIA;1;Ativa
7;IFCE CONSTRUÇÃO ESPAÇO DE VIVÊNCIA - MORADA NOVA;1;Ativa
8;IFCE CONSTRUÇÃO ESPAÇO DE VIVÊNCIA - TABULEIRO DO NORTE;1;Ativa
9;IFCE MANUTENÇÃO PREDIAL - FORTALEZA;1;Ativa
10;IFCE MANUTENÇÃO PREDIAL - REITORIA;1;Ativa
11;IFCE MANUTENÇÃO PREDIAL - ARACATI;1;Ativa
12;IFCE MANUTENÇÃO PREDIAL - TABULEIRO DO NORTE;1;Ativa
13;IFCE MANUTENÇÃO PREDIAL - PARACURU;1;Ativa
14;IFCE MANUTENÇÃO PREDIAL - HORIZONTE;1;Ativa
15;IFCE MANUTENÇÃO PREDIAL - QUIXADÁ;1;Ativa
16;IFCE CONSTRUÇÃO SALAS DE AULA E ESP. VIVÊNCIA - JAGUARIBE;1;Ativa
17;SEDUC REFORMA DO CEJAQUI - AQUIRAZ;1;Ativa
18;IFCE MANUTENÇÃO PREDIAL - JAGUARUANA;1;Ativa
19;TESTE;1;Ativa
20;PSJ ETE HORIZONTE;1;Ativa
21;HOSPITAL MUNICIPAL EDVAR SILVEIRA - MORRINHOS;1;Ativa
22;IFCE MANUTENÇÃO PREDIAL - BOA VIAGEM;1;Ativa
23;IFCE MANUTENÇÃO PREDIAL - MORADA NOVA;1;Ativa
24;IFCE MANUTENÇÃO PREDIAL - LIMOEIRO DO NORTE;1;Ativa
25;PREFEITURA - MORRINHOS - ESCOLA FNDE;1;Ativa
26;PREFEITURA MUNICIPAL DE CAUCAIA - CRECHES;1;Ativa
27;PREFEITURA MUNICIPAL DE CAUCAIA - CONCLUSÃO;1;Ativa
28;ALMOXARIFADO DINÂMICA;1;Ativa
29;IFCE MANUTENÇÃO PREDIAL - JAGUARIBE;1;Ativa
30;ITAITINGA - CONST. QUADRA COBERTA COM VESTIÁRIO;1;Ativa
31;PMC- REFORMA QUADRA COBERTA ESCOLA NELY CAULA DE CARVALHO;1;Ativa
32;PMC- REFORMA DA QUADRA COBERTA DA ESCOLA ANTONIO ALMEIDA LUSTOSA;1;Ativa
33;PMC - REFORMA DE UMA QUADRA COBERTA DA ESCOLA DOMINGOS DE ABREU BRASILEIRO;1;Ativa
34;IFCE MANUTENÇÃO PREDIAL - QUIXADÁ 2;1;Ativa
35;ITAITINGA - PAV. PEDRA TOSCA EM RUAS GERERAÚ;1;Ativa
36;ESCRITÓRIO NOVO;1;Ativa
37;LICITAÇÃO;1;Ativa
38;IFCE MANUTENÇÃO PREDIAL - CANINDÉ;1;Ativa
39;PRAÇA MUNICIPAL EDWAR SILVEIRA - MORRINHOS;1;Ativa
40;PREFEITURA MUNICIPAL DE CAUCAIA - REF 02 QUADRAS (Mª DE LOURDES E PEDRO LAURINDO;1;Ativa
41;ESCRITÓRIO;1;Ativa
42;LOGÍSTICA;1;Ativa
43;IFCE MANUTENÇÃO PREDIAL - CAUCAIA;1;Ativa
44;IFCE MANUTENÇAO SUBESTAÇAO- CAMPUS CAUCAIA;1;Ativa
45;IFCE MANUTENÇAO SUBESTAÇAO - CAMPUS FORTALEZA;1;Ativa
46;IFCE MANUTENÇAO SUBESTAÇAO - CAMPUS MARACANAU;1;Ativa
47;IFCE MANUTENÇAO SUBESTAÇAO - CAMPUS MARANGUAPE;1;Ativa
48;IFCE MANUTENÇAO SUBESTAÇAO - CAMPUS PARACURU;1;Ativa
49;IFCE MANUTENÇAO SUBESTAÇAO - CAMPUS REITORIA;1;Ativa
50;IFCE MANUTENÇAO SUBESTAÇAO - CAMPUS UMIRIM;1;Ativa
51;IFCE MANUTENÇAO SUBESTAÇAO - CAMPUS BOA VIAGEM;1;Ativa
52;IFCE MANUTENÇAO SUBESTAÇAO - CAMPUS CAMOCIM;1;Ativa
53;IFCE MANUTENÇAO SUBESTAÇAO - CAMPUS ITAPIPOCA;1;Ativa
54;IFCE MANUTENÇAO SUBESTAÇAO - CAMPUS TAUA;1;Ativa
55;IFCE MANUTENÇAO SUBESTAÇAO - CAMPUS UBAJARA;1;Ativa
56;IFCE MANUTENÇAO SUBESTAÇAO - CAMPUS ARACATI;1;Ativa
57;IFCE MANUTENÇAO SUBESTAÇAO - CAMPUS CEDRO;1;Ativa
58;IFCE MANUTENÇAO SUBESTAÇAO - CAMPUS JAGUARIBE;1;Ativa
59;IFCE MANUTENÇAO SUBESTAÇAO - CAMPUS JUAZEIRO DO NORTE;1;Ativa
60;IFCE MANUTENÇAO SUBESTAÇAO - CAMPUS MORADA NOVA;1;Ativa
61;IFCE MANUTENÇAO SUBESTAÇAO - CAMPUS ACOPIARA;1;Ativa
62;IFCE MANUTENÇAO SUBESTAÇAO - CAMPUS CRATEUS;1;Ativa
63;IFCE MANUTENÇÃO PREDIAL - UMIRIM;1;Ativa
64;IFCE MANUTENÇAO SUBESTAÇAO - CAMPUS QUIXADA;1;Ativa
65;IFCE MANUTENÇÃO PREDIAL - TIANGUA;1;Ativa
66;IFCE MANUTENÇAO SUBESTAÇAO - CAMPUS PECEM;1;Ativa
67;IFCE MANUTENÇAO SUBESTAÇAO - CAMPUS ACARAU;1;Ativa
68;IFCE MANUTENÇAO SUBESTAÇAO - CAMPUS TIANGUA;1;Ativa
69;IFCE MANUTENÇAO SUBESTAÇAO - CAMPUS SOBRAL;1;Ativa
70;PREFEITURA MUNICIPAL DE CAMOCIM - CONCLUSAO CRECHE;1;Ativa
71;IFCE MANUTENÇAO SUBESTAÇAO - CAMPUS BATURITE;1;Ativa
72;IFCE MANUTENÇAO SUBESTAÇAO - CAMPUS TABULEIRO DO NORTE;1;Ativa
73;VT 03 - CAMINHÃO OKR 8293;1;Ativa
74;MONTANA PRETA 0RR-5194;1;Ativa
75;VT 02 - MONTANA POP-3760;1;Ativa
