ID_EMPRESA;EMPRESA;ID_OBRA;OBRA;RECEITA_RECEBIDA;RECEITA_BRUTA;SALDO_ABERTO;TITULOS
1;DINAMICA EMPREENDIMENTOS E SOLUCOES LTDA;262;1 - UNILAB - CONSTRUÇÃO DOS BLOCOS ANEXOS DO CAMPUS DOS MALÊS;11343925.97;11343925.97;0.00;26
1;DINAMICA EMPREENDIMENTOS E SOLUCOES LTDA;102;REFORMA DO HOSPITAL MUNICIPAL DR. JOÃO ELISIO DE HOLANDA;8064247.75;8064247.75;0.00;39
1;DINAMICA EMPREENDIMENTOS E SOLUCOES LTDA;256;1 - CONSTRUÇÃO DE ESCOLA VERTICAL 12 SALAS NO BAIRRO ALTO DA BRASILIA - SOBRAL;6020858.65;6020858.65;0.00;16
1;DINAMICA EMPREENDIMENTOS E SOLUCOES LTDA;187;4 - CONSTRUÇÃO DE ESCOLA VERTICAL 12 SALAS NO BAIRRO ALTO DA BRASILIA - SOBRAL;5811692.21;5811692.21;0.00;19
1;DINAMICA EMPREENDIMENTOS E SOLUCOES LTDA;272;2 - CONSTRUÇÃO DE 12 SALAS DE AULA COM QUADRA POLIESPORTIVA COBERTA - ASSARE;5298586.79;5298586.79;0.00;14
1;DINAMICA EMPREENDIMENTOS E SOLUCOES LTDA;168;4 - REFORMA E AMPLIAÇÃO DE HOSPITAL - ASSARE;4384533.09;4384533.09;0.00;22
1;DINAMICA EMPREENDIMENTOS E SOLUCOES LTDA;203;REF E AMPLI ESCOLAS FRANCISCO CIPRIANO MOREIRA E LUIZA BARROSO BRAGA - PARAIPABA;3931719.26;3931719.26;0.00;22
1;DINAMICA EMPREENDIMENTOS E SOLUCOES LTDA;270;1 - REFORMA E AMPLIAÇÃO DE HOSPITAL - ASSARE;3536149.03;3536149.03;0.00;11
1;DINAMICA EMPREENDIMENTOS E SOLUCOES LTDA;198;CONSTRUÇÃO DE GALPÃO INDUSTRIAL - SENADOR POMPEU;3407724.80;3407724.80;0.00;11
1;DINAMICA EMPREENDIMENTOS E SOLUCOES LTDA;274;CONSTRUÇÃO DE UMA ESCOLA - 12 SALAS - VARZEA ALEGRE;3003017.36;3003017.36;0.00;10
1;DINAMICA EMPREENDIMENTOS E SOLUCOES LTDA;162;4 - REFORMA DA ESCOLA FREI TITO DE ALENCAR LIMA - FORTALEZA;2718550.78;2718550.78;0.00;27
1;DINAMICA EMPREENDIMENTOS E SOLUCOES LTDA;269;1 - CONSTRUÇÃO SEDE OPERACIONAL PRF - POCINHOS/PB;2516602.22;2516602.22;0.00;24
1;DINAMICA EMPREENDIMENTOS E SOLUCOES LTDA;146;CENTRO DE EDUCAÇÃO INFANTIL - CEI IV - CASCAVEL;2516365.38;2516365.38;0.00;16
1;DINAMICA EMPREENDIMENTOS E SOLUCOES LTDA;142;SERVIÇOS REMANESCENTES DA CRECHE TIPO 01 - PROINFÂNCIA - ASSARÉ;2320909.77;2320909.77;0.00;16
1;DINAMICA EMPREENDIMENTOS E SOLUCOES LTDA;26;PREFEITURA MUNICIPAL DE CAUCAIA - CRECHES;2258154.22;2258154.22;0.00;9
1;DINAMICA EMPREENDIMENTOS E SOLUCOES LTDA;280;UNIDADE NUTRICIONAL DO CAMPUS CAUCAIA - IFCE;2254017.61;2254017.61;0.00;13
1;DINAMICA EMPREENDIMENTOS E SOLUCOES LTDA;105;GESTÃO DINAMICA;2247041.23;2247041.23;0.00;5
1;DINAMICA EMPREENDIMENTOS E SOLUCOES LTDA;282;UNIDADE NUTRICIONAL DO CAMPUS HORIZONTE - IFCE;2236307.37;2236307.37;0.00;15
1;DINAMICA EMPREENDIMENTOS E SOLUCOES LTDA;184;REF E AMP DA EDIFICAÇÃO DA ESCOLA SUPERIOR DA MAGISTRAT DO EST DO CEARA - ESMEC;2217645.72;2217645.72;0.00;14
1;DINAMICA EMPREENDIMENTOS E SOLUCOES LTDA;281;UNIDADE NUTRICIONAL DO CAMPUS PARACURU - IFCE;2126549.93;2126549.93;0.00;13
1;DINAMICA EMPREENDIMENTOS E SOLUCOES LTDA;283;UNIDADE NUTRICIONAL DO CAMPUS TIANGUÁ - IFCE;2070529.78;2070529.78;0.00;10
1;DINAMICA EMPREENDIMENTOS E SOLUCOES LTDA;279;UNIDADE NUTRICIONAL DO CAMPUS CAMOCIM - IFCE;2043155.14;2043155.14;0.00;12
1;DINAMICA EMPREENDIMENTOS E SOLUCOES LTDA;135;3 - SOP - CONSTRUÇÃO DE CEI - MARACANAÚ;2023304.86;2023304.86;0.00;14
1;DINAMICA EMPREENDIMENTOS E SOLUCOES LTDA;136;4 - SOP - CONSTRUÇÃO DE CEI - ICAPUÍ;1956913.52;1956913.52;0.00;24
1;DINAMICA EMPREENDIMENTOS E SOLUCOES LTDA;286;UNIDADE NUTRICIONAL DO CAMPUS MORADA NOVA - IFCE;1894307.90;1894307.90;0.00;12
1;DINAMICA EMPREENDIMENTOS E SOLUCOES LTDA;271;1 - UNIDADE DE ALIMENTAÇÃO NUTRICIONAL DO CAMPUS ACARAÚ DO IFCE;1859425.54;1859425.54;0.00;16
1;DINAMICA EMPREENDIMENTOS E SOLUCOES LTDA;284;UNIDADE NUTRICIONAL DO CAMPUS UBAJARA - IFCE;1804818.46;1804818.46;0.00;9
1;DINAMICA EMPREENDIMENTOS E SOLUCOES LTDA;195;CONSTRUÇAO DE UMA ESCOLA NO DISTRITO DE MONTE ALVERNE - CRATO;1620080.83;1620080.83;0.00;8
1;DINAMICA EMPREENDIMENTOS E SOLUCOES LTDA;200;4 - URBANIZAÇÃO CAMPUS UNILAB;1525926.62;1525926.62;0.00;9
1;DINAMICA EMPREENDIMENTOS E SOLUCOES LTDA;144;URBANIZAÇÃO DO AÇUDE DO JUNCO - CONSTRUÇÃO DE FONTE GRANJEIRO;1456568.05;1456568.05;0.00;9
1;DINAMICA EMPREENDIMENTOS E SOLUCOES LTDA;83;AMPLIAÇÃO DO HOSPITAL E MATERNIDADE LUZIA TEODORO DA COSTA NO MUNICÍPIO DE ORÓS;1450492.54;1450492.54;0.00;11
1;DINAMICA EMPREENDIMENTOS E SOLUCOES LTDA;206;RECUPERAÇÃO DO MATADOURO PÚBLICO MUNICIPAL DE ASSARÉ;1363855.93;1363855.93;0.00;5
1;DINAMICA EMPREENDIMENTOS E SOLUCOES LTDA;183;4 - SOP - CONSTRUÇÃO DE CEI - CANINDE;1324259.57;1324259.57;0.00;13
1;DINAMICA EMPREENDIMENTOS E SOLUCOES LTDA;31;PMC- REFORMA QUADRA COBERTA ESCOLA NELY CAULA DE CARVALHO;1232698.16;1232698.16;0.00;5
1;DINAMICA EMPREENDIMENTOS E SOLUCOES LTDA;131;REFORMA DE ESCOLA;1226337.24;1226337.24;0.00;39
