RECEITA OPERACIONAL TOTAL (SIENGE - CACHE LOCAL)
Periodo: 2019-01 ate 2026-05 (todos os meses disponiveis no cache)
Gerado em: 2026-05-05

MES;RECEITA_OPERACIONAL
2019-01;R$ 12.659,04
2019-02;R$ 0,00
2019-03;R$ 0,00
2019-04;R$ 0,00
2019-05;R$ 0,00
2019-06;R$ 0,00
2019-07;R$ 0,00
2019-08;R$ 0,00
2019-09;R$ 606.269,77
2019-10;R$ 375.603,50
2019-11;R$ 695.462,78
2019-12;R$ 1.038.739,42
2020-01;R$ 395.213,13
2020-02;R$ 590.102,82
2020-03;R$ 1.126.886,59
2020-04;R$ 1.047.298,99
2020-05;R$ 770.685,75
2020-06;R$ 1.048.801,40
2020-07;R$ 1.209.245,40
2020-08;R$ 1.195.923,03
2020-09;R$ 1.957.574,59
2020-10;R$ 1.180.310,53
2020-11;R$ 1.081.517,78
2020-12;R$ 1.487.980,29
2021-01;R$ 584.786,32
2021-02;R$ 903.929,27
2021-03;R$ 468.028,83
2021-04;R$ 873.850,27
2021-05;R$ 386.517,31
2021-06;R$ 1.799.795,40
2021-07;R$ 1.196.542,39
2021-08;R$ 1.468.514,15
2021-09;R$ 1.385.743,02
2021-10;R$ 1.144.759,81
2021-11;R$ 1.466.004,85
2021-12;R$ 3.516.042,42
2022-01;R$ 903.706,43
2022-02;R$ 1.696.271,76
2022-03;R$ 2.700.743,61
2022-04;R$ 1.767.967,43
2022-05;R$ 1.241.313,17
2022-06;R$ 2.336.173,56
2022-07;R$ 1.820.460,18
2022-08;R$ 2.217.637,61
2022-09;R$ 1.794.486,66
2022-10;R$ 1.767.287,08
2022-11;R$ 2.119.991,05
2022-12;R$ 4.659.856,52
2023-01;R$ 1.165.209,25
2023-02;R$ 1.085.515,72
2023-03;R$ 4.455.222,67
2023-04;R$ 1.369.979,08
2023-05;R$ 3.608.089,32
2023-06;R$ 2.003.566,48
2023-07;R$ 2.353.563,58
2023-08;R$ 2.462.442,82
2023-09;R$ 2.315.970,44
2023-10;R$ 2.861.436,45
2023-11;R$ 1.855.931,72
2023-12;R$ 3.371.492,60
2024-01;R$ 658.663,56
2024-02;R$ 2.406.612,73
2024-03;R$ 2.856.225,45
2024-04;R$ 3.084.518,65
2024-05;R$ 3.025.064,26
2024-06;R$ 2.785.744,64
2024-07;R$ 4.803.645,85
2024-08;R$ 3.373.129,65
2024-09;R$ 2.792.310,53
2024-10;R$ 3.661.343,96
2024-11;R$ 3.906.407,65
2024-12;R$ 5.118.569,13
2025-01;R$ 1.735.197,89
2025-02;R$ 1.810.435,78
2025-03;R$ 1.457.600,87
2025-04;R$ 2.480.988,88
2025-05;R$ 1.755.334,55
2025-06;R$ 1.502.137,08
2025-07;R$ 1.876.790,15
2025-08;R$ 1.899.905,04
2025-09;R$ 2.273.517,58
2025-10;R$ 3.778.066,79
2025-11;R$ 2.319.124,75
2025-12;R$ 3.641.974,34
2026-01;R$ 1.468.154,38
2026-02;R$ 2.937.078,15
2026-03;R$ 2.893.528,29
2026-04;R$ 1.889.437,07
2026-05;R$ 75,50

TOTAL;R$ 159.140.687,19
